vaccine,influenza_season,geographic_level,geographic_name,demographic_level,demographic_name,indicator_label,indicator_category_label,month_week,week_ending,nd_weekly_estimate,ci_half_width_90pct,ci_half_width_95pct,n_weighted,n_unweighted,suppression_flag,data_source
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 5,2024-11-30T00:00:00.000,46.8906,2.2198,2.6449,,9404,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,2024-10-05T00:00:00.000,38.9348,1.9584,2.3335,,9048,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,2024-10-12T00:00:00.000,41.0125,1.6778,1.9991,,12055,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,2024-10-19T00:00:00.000,44.6747,1.562,1.8611,,11801,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,2024-10-26T00:00:00.000,43.9405,1.6239,1.9349,,11890,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 1,2024-09-07T00:00:00.000,44.4406,1.7928,2.1361,,10765,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 2,2024-09-14T00:00:00.000,41.7246,1.6195,1.9296,,12525,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 3,2024-09-21T00:00:00.000,42.4724,1.6522,1.9686,,12456,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 4,2024-09-28T00:00:00.000,42.7631,1.7463,2.0806,,12903,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2024-12-07T00:00:00.000,9.5359,1.0713,1.2764,,12045,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2024-12-14T00:00:00.000,9.7617,1.1115,1.3243,,12288,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,December Week 3,2024-12-21T00:00:00.000,8.8564,0.9308,1.109,,12401,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28T00:00:00.000,9.1244,1.5188,1.8096,,7625,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 1,2025-01-04T00:00:00.000,10.3419,1.4949,1.7811,,8080,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 2,2025-01-11T00:00:00.000,9.84,1.1666,1.39,,9768,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 3,2025-01-18T00:00:00.000,9.0507,1.0635,1.2671,,10569,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,2025-01-25T00:00:00.000,9.2407,1.3316,1.5866,,8893,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 1,2024-11-02T00:00:00.000,14.4916,1.3127,1.5641,,9556,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 2,2024-11-09T00:00:00.000,13.5839,1.4063,1.6756,,9439,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,2024-11-16T00:00:00.000,11.9616,1.09,1.2988,,11488,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 4,2024-11-23T00:00:00.000,11.1329,1.1876,1.4151,,12005,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 5,2024-11-30T00:00:00.000,9.6677,1.3525,1.6115,,9404,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,2024-10-05T00:00:00.000,21.1096,1.7261,2.0566,,9048,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,2024-10-12T00:00:00.000,19.7584,1.2247,1.4592,,12055,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,2024-10-19T00:00:00.000,15.7519,1.0378,1.2365,,11801,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,2024-10-26T00:00:00.000,14.0541,0.9982,1.1893,,11890,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 1,2024-09-07T00:00:00.000,23.8835,1.4278,1.7012,,10765,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 2,2024-09-14T00:00:00.000,23.0595,1.2749,1.519,,12525,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 3,2024-09-21T00:00:00.000,23.2732,1.4143,1.6851,,12456,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 4,2024-09-28T00:00:00.000,20.8628,1.291,1.5382,,12903,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,2024-12-07T00:00:00.000,25.7109,1.6211,1.9315,,12045,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 2,2024-12-14T00:00:00.000,24.9625,1.7536,2.0894,,12288,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 3,2024-12-21T00:00:00.000,24.0782,1.5538,1.8514,,12401,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 4,2024-12-28T00:00:00.000,27.0858,2.25,2.6809,,7625,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,January Week 1,2025-01-04T00:00:00.000,24.2574,1.7489,2.0838,,8080,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,January Week 2,2025-01-11T00:00:00.000,24.0828,1.618,1.9278,,9768,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,January Week 3,2025-01-18T00:00:00.000,25.3137,1.5864,1.8902,,10569,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,January Week 4,2025-01-25T00:00:00.000,25.1211,1.9828,2.3624,,8893,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,November Week 1,2024-11-02T00:00:00.000,27.155,1.6898,2.0134,,9556,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,November Week 2,2024-11-09T00:00:00.000,27.326,1.9531,2.3271,,9439,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,November Week 3,2024-11-16T00:00:00.000,25.5272,1.579,1.8814,,11488,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,November Week 4,2024-11-23T00:00:00.000,25.0355,1.6063,1.9139,,12005,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,November Week 5,2024-11-30T00:00:00.000,24.1591,1.9299,2.2994,,9404,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,2024-10-05T00:00:00.000,31.4131,1.9967,2.379,,9048,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 2,2024-10-12T00:00:00.000,28.9368,1.5631,1.8624,,12055,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 3,2024-10-19T00:00:00.000,27.5299,1.3874,1.653,,11801,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 4,2024-10-26T00:00:00.000,28.6839,1.453,1.7312,,11890,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,September Week 1,2024-09-07T00:00:00.000,29.7508,1.6323,1.9449,,10765,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,September Week 2,2024-09-14T00:00:00.000,31.8325,1.6158,1.9252,,12525,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,September Week 3,2024-09-21T00:00:00.000,29.2944,1.5672,1.8673,,12456,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,September Week 4,2024-09-28T00:00:00.000,29.9477,1.6092,1.9173,,12903,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,December Week 1,2024-12-07T00:00:00.000,20.4775,0.4844,0.5771,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,December Week 2,2024-12-14T00:00:00.000,20.9104,0.5016,0.5977,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,December Week 3,2024-12-21T00:00:00.000,21.4042,0.5173,0.6164,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,December Week 4,2024-12-28T00:00:00.000,21.5645,0.5243,0.6247,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 1,2025-01-04T00:00:00.000,22.0691,0.513,0.6112,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 2,2025-01-11T00:00:00.000,22.5246,0.5591,0.6661,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 3,2025-01-18T00:00:00.000,22.5536,0.5292,0.6305,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,2025-01-25T00:00:00.000,22.5928,0.5298,0.6313,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 1,2024-11-02T00:00:00.000,16.1167,0.3696,0.4404,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 2,2024-11-09T00:00:00.000,17.1192,0.4569,0.5444,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,2024-11-16T00:00:00.000,17.8749,0.4573,0.5449,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 4,2024-11-23T00:00:00.000,18.982,0.5337,0.6359,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 5,2024-11-30T00:00:00.000,19.2825,0.5511,0.6566,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 1,2024-10-05T00:00:00.000,8.5425,0.3133,0.3733,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 2,2024-10-12T00:00:00.000,10.2923,0.3597,0.4286,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 3,2024-10-19T00:00:00.000,12.0435,0.4191,0.4994,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 4,2024-10-26T00:00:00.000,13.3215,0.5546,0.6608,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 1,2024-09-07T00:00:00.000,1.9251,0.219,0.261,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 2,2024-09-14T00:00:00.000,3.3834,0.3105,0.3699,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 3,2024-09-21T00:00:00.000,4.96,0.3779,0.4503,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 4,2024-09-28T00:00:00.000,6.4264,0.5201,0.6197,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,December Week 1,2024-12-07T00:00:00.000,20.4775,0.4844,0.5771,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,December Week 2,2024-12-14T00:00:00.000,20.9104,0.5016,0.5977,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,December Week 3,2024-12-21T00:00:00.000,21.4042,0.5173,0.6164,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,December Week 4,2024-12-28T00:00:00.000,21.5645,0.5243,0.6247,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,January Week 1,2025-01-04T00:00:00.000,22.0691,0.513,0.6112,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,January Week 2,2025-01-11T00:00:00.000,22.5246,0.5591,0.6661,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,January Week 3,2025-01-18T00:00:00.000,22.5536,0.5292,0.6305,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,January Week 4,2025-01-25T00:00:00.000,22.5928,0.5298,0.6313,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,November Week 1,2024-11-02T00:00:00.000,16.1167,0.3696,0.4404,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,November Week 2,2024-11-09T00:00:00.000,17.1192,0.4569,0.5444,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,November Week 3,2024-11-16T00:00:00.000,17.8749,0.4573,0.5449,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,November Week 4,2024-11-23T00:00:00.000,18.982,0.5337,0.6359,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,November Week 5,2024-11-30T00:00:00.000,19.2825,0.5511,0.6566,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,October Week 1,2024-10-05T00:00:00.000,8.5425,0.3133,0.3733,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,October Week 2,2024-10-12T00:00:00.000,10.2923,0.3597,0.4286,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,October Week 3,2024-10-19T00:00:00.000,12.0435,0.4191,0.4994,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,October Week 4,2024-10-26T00:00:00.000,13.3215,0.5546,0.6608,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,September Week 1,2024-09-07T00:00:00.000,1.9251,0.219,0.261,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,September Week 2,2024-09-14T00:00:00.000,3.3834,0.3105,0.3699,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,September Week 3,2024-09-21T00:00:00.000,4.96,0.3779,0.4503,,227004,0,NIS-ACM
COVID,,National,National,Overall,18+ years,Up-to-date,Yes,September Week 4,2024-09-28T00:00:00.000,6.4264,0.5201,0.6197,,227004,0,NIS-ACM
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2024-12-07T00:00:00.000,52.4205,2.8205,3.3605,,3079,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2024-12-14T00:00:00.000,53.7476,2.7054,3.2235,,3019,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 3,2024-12-21T00:00:00.000,52.9472,2.5286,3.0128,,2860,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28T00:00:00.000,53.3903,3.4352,4.093,,1838,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 1,2025-01-04T00:00:00.000,49.7174,3.2564,3.88,,1867,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 2,2025-01-11T00:00:00.000,52.1952,2.7508,3.2776,,2552,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 3,2025-01-18T00:00:00.000,52.6201,2.6284,3.1317,,3011,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,2025-01-25T00:00:00.000,51.0141,2.913,3.4709,,2501,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 1,2024-11-02T00:00:00.000,47.7083,2.8627,3.4109,,2593,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 2,2024-11-09T00:00:00.000,47.8118,2.7805,3.3129,,2703,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,2024-11-16T00:00:00.000,54.2572,2.6943,3.2102,,3163,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 4,2024-11-23T00:00:00.000,52.3303,2.4921,2.9694,,3152,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 5,2024-11-30T00:00:00.000,51.6246,2.7931,3.328,,2359,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,2024-10-05T00:00:00.000,48.8564,3.9231,4.6744,,1531,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,2024-10-12T00:00:00.000,47.4721,2.3706,2.8246,,3037,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,2024-10-19T00:00:00.000,48.7089,2.5459,3.0334,,3169,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,2024-10-26T00:00:00.000,50.0167,2.5476,3.0354,,3240,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2024-12-07T00:00:00.000,9.4296,1.4444,1.721,,3079,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2024-12-14T00:00:00.000,8.4865,1.5292,1.822,,3019,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 3,2024-12-21T00:00:00.000,8.1836,1.2846,1.5306,,2860,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28T00:00:00.000,8.5626,1.8013,2.1462,,1838,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,January Week 1,2025-01-04T00:00:00.000,7.1893,1.7207,2.0501,,1867,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,January Week 2,2025-01-11T00:00:00.000,7.5559,1.3558,1.6154,,2552,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,January Week 3,2025-01-18T00:00:00.000,7.6759,1.4554,1.7341,,3011,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,2025-01-25T00:00:00.000,7.7784,1.5554,1.8532,,2501,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 1,2024-11-02T00:00:00.000,12.0781,1.9769,2.3555,,2593,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 2,2024-11-09T00:00:00.000,10.6138,1.6872,2.0103,,2703,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,2024-11-16T00:00:00.000,11.8878,1.8803,2.2404,,3163,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 4,2024-11-23T00:00:00.000,9.1878,1.4835,1.7675,,3152,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 5,2024-11-30T00:00:00.000,8.1565,1.3908,1.6572,,2359,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,2024-10-05T00:00:00.000,16.9849,2.4949,2.9726,,1531,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,2024-10-12T00:00:00.000,14.0621,1.6882,2.0114,,3037,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,2024-10-19T00:00:00.000,13.6586,1.7066,2.0334,,3169,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,2024-10-26T00:00:00.000,13.4266,1.6978,2.0229,,3240,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,2024-12-07T00:00:00.000,27.9846,2.6854,3.1996,,3079,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 2,2024-12-14T00:00:00.000,27.4103,2.3893,2.8468,,3019,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 3,2024-12-21T00:00:00.000,28.1991,2.2886,2.7268,,2860,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 4,2024-12-28T00:00:00.000,27.1988,3.1121,3.708,,1838,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,January Week 1,2025-01-04T00:00:00.000,31.9974,3.0732,3.6617,,1867,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,January Week 2,2025-01-11T00:00:00.000,29.0305,2.5415,3.0282,,2552,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,January Week 3,2025-01-18T00:00:00.000,28.3805,2.3758,2.8308,,3011,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,January Week 4,2025-01-25T00:00:00.000,29.8003,2.6056,3.1046,,2501,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,November Week 1,2024-11-02T00:00:00.000,32.5101,2.722,3.2432,,2593,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,November Week 2,2024-11-09T00:00:00.000,33.2302,2.7642,3.2935,,2703,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,November Week 3,2024-11-16T00:00:00.000,25.0965,2.1829,2.6008,,3163,0,NIS-Flu
COVID,,National,National,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,November Week 4,2024-11-23T00:00:00.000,29.1612,2.2622,2.6953,,3152,0,NIS-Flu
