"vaccine","geographical_level","demographic_name","indicator_category_label","month","nd_weekly_estimate","unweighted_response"
"COVID","National","18+ year olds","Definitely or probably will get a vaccine","December",43.1962266762275,124544
"COVID","National","18+ year olds","Probably will get a vaccine","November",21.8851019972935,225360
"COVID","National","18+ year olds","Received vaccination","November",29.1952284607105,47467
"COVID","National","18+ year olds","Definitely will get a vaccine","November",37.592324414989,54271
"COVID","National","18+ year olds","Definitely or probably will get a vaccine","August",35.2999565135688,207526
"COVID","National","18+ year olds","Definitely will get a vaccine","September",35.4008395143319,139951
"COVID","National","18+ year olds","Definitely or probably will get a vaccine","October",49.0919895977713,285262
"COVID","National","18+ year olds","Definitely or probably will get a vaccine","November",26.0041487128474,199703
"COVID","National","18+ year olds","Received vaccination","October",13.8955959791783,242597
"COVID","National","18+ year olds","Received vaccination","August",30.5672160654794,184594
"COVID","National","18+ year olds","Probably will get a vaccine","December",18.2280073838774,185989
"COVID","National","18+ year olds","Definitely or probably will get a vaccine","December",28.9428823261987,287665
"COVID","National","18+ year olds","Definitely will get a vaccine","September",24.1788067379966,131616
"COVID","National","18+ year olds","Definitely or probably will get a vaccine","October",49.3173574123066,247078
"COVID","National","18+ year olds","Definitely or probably will get a vaccine","December",24.9210837213323,91231
"COVID","National","18+ year olds","Probably will get a vaccine","August",18.3990384535864,179889
"COVID","National","18+ year olds","Definitely or probably will get a vaccine","November",34.5551993979607,277560
"COVID","National","18+ year olds","Definitely will get a vaccine","September",14.5981480798218,137667
"COVID","National","18+ year olds","Definitely or probably will get a vaccine","November",48.6662492672913,61100
"COVID","National","18+ year olds","Probably will get a vaccine","December",30.1179441236891,169238
"COVID","National","18+ year olds","Definitely or probably will get a vaccine","December",15.6858834985178,253801
"COVID","National","18+ year olds","Probably will get a vaccine","December",34.4979941013735,113242
"COVID","National","18+ year olds","Definitely will get a vaccine","December",49.4241207742598,136984
"COVID","National","18+ year olds","Received vaccination","August",36.4196322159842,231772
"COVID","National","18+ year olds","Probably will get a vaccine","September",26.1755517732818,105023
"COVID","National","18+ year olds","Received vaccination","August",22.2571447200608,210845
"COVID","National","18+ year olds","Received vaccination","September",43.2454681179952,292513
"COVID","National","18+ year olds","Definitely will get a vaccine","December",14.8964987888467,190173
"COVID","National","18+ year olds","Definitely will get a vaccine","December",16.9054538221098,37085
"COVID","National","18+ year olds","Probably will get a vaccine","August",45.7662859882694,83170
"COVID","National","18+ year olds","Received vaccination","September",21.6329017265234,10181
"COVID","National","18+ year olds","Definitely will get a vaccine","December",23.8953222839627,104745
"COVID","National","18+ year olds","Definitely will get a vaccine","November",41.1418056283146,89851
"COVID","National","18+ year olds","Probably will get a vaccine","September",16.9285258767195,156742
"COVID","National","18+ year olds","Probably will get a vaccine","September",9.72839828697033,166205
"COVID","National","18+ year olds","Received vaccination","October",25.6709225177765,26195
"COVID","National","18+ year olds","Definitely or probably will get a vaccine","August",28.8098744400777,270214
"COVID","National","18+ year olds","Definitely will get a vaccine","August",26.2956429573242,2497
"COVID","National","18+ year olds","Definitely will get a vaccine","December",23.0551608689129,189408
"COVID","National","18+ year olds","Definitely or probably will get a vaccine","December",44.5258159011137,61586
"COVID","National","18+ year olds","Definitely will get a vaccine","October",27.6594300891738,262420
"COVID","National","18+ year olds","Received vaccination","September",30.8843598188832,236756
"COVID","National","18+ year olds","Definitely or probably will get a vaccine","December",48.5175766081084,166670
"COVID","National","18+ year olds","Definitely or probably will get a vaccine","December",40.7582532253582,5517
"COVID","National","18+ year olds","Definitely will get a vaccine","October",17.5639302912168,213953
"COVID","National","18+ year olds","Probably will get a vaccine","October",21.6602601418272,5694
"COVID","National","18+ year olds","Probably will get a vaccine","August",48.8250404598657,295245
